Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.04     0.00     1171     0.00     0.00  rf::LuaBinder::invoker<unsigned int (rf::LuaGlueBitstream::*)(char const*, int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul>, void>::apply(lua_State*)
  0.00      0.04     0.00     1031     0.00     0.00  std::__array_traits<int (rf::LuaGlueBitstream::*)(), 1ul>::_S_ref(int (rf::LuaGlueBitstream::* const (&) [1])(), unsigned long)
  0.00      0.04     0.00     1031     0.00     0.00  std::array<int (rf::LuaGlueBitstream::*)(), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00     1028     0.00     0.00  rf::LuaBinder::invoker<int (rf::LuaGlueBitstream::*)(), rf::LuaBinder::intetgral_sequence<unsigned long>, void>::apply(lua_State*)
  0.00      0.04     0.00      574     0.00     0.00  rf::valid_ptr(void const*)
  0.00      0.04     0.00      555     0.00     0.00  rf::LuaBinder::push_stack(lua_State*, bool)
  0.00      0.04     0.00      479     0.00     0.00  std::__array_traits<unsigned int (rf::LuaGlueBitstream::*)(char const*), 1ul>::_S_ref(unsigned int (rf::LuaGlueBitstream::* const (&) [1])(char const*), unsigned long)
  0.00      0.04     0.00      479     0.00     0.00  std::array<unsigned int (rf::LuaGlueBitstream::*)(char const*), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      478     0.00     0.00  rf::LuaGlueBitstream::read_expgolomb(char const*)
  0.00      0.04     0.00      478     0.00     0.00  rf::Bitstream::read_expgolomb(unsigned int&, int&)
  0.00      0.04     0.00      478     0.00     0.00  rf::LuaBinder::invoker<unsigned int (rf::LuaGlueBitstream::*)(char const*), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      385     0.00     0.00  std::__array_traits<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), 1ul>::_S_ref(bool (rf::LuaGlueBitstream::* const (&) [1])(char const*, int, unsigned int), unsigned long)
  0.00      0.04     0.00      385     0.00     0.00  std::array<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), 1ul>::operator[](unsigned long)
  0.00      0.04     0.00      383     0.00     0.00  rf::LuaGlueBitstream::compare_bit(char const*, int, unsigned int)
  0.00      0.04     0.00      383     0.00     0.00  rf::LuaBinder::invoker<bool (rf::LuaGlueBitstream::*)(char const*, int, unsigned int), rf::LuaBinder::intetgral_sequence<unsigned long, 2ul, 3ul, 4ul>, void>::apply(lua_State*)
  0.00      0.04     0.00      383     0.00     0.00  unsigned int rf::LuaBinder::get_stack<unsigned int>(lua_State*, int, std::enable_if<rf::LuaBinder::is_number<unsigned int>::value, void>::type*)
  0.00      0.04     0.00      347     0.00     0.00  bool rf::LuaBinder::get_stack<bool>(lua_State*, int, std::enable_if<rf::LuaBinder::is_boolean<bool>::value, void>::type*)
